Date	Rapporteurs	Sujets	Liens	Tags
19/08/2025	Paul Verbeke	la solution aux instabilités violentes de W11 24H2 sur TOUS les PC framework lors du branchement d'une webcam externe USB peu importe le modèle	https://community.frame.work/t/external-webcam-causing-system-instability-and-crashes/68518/3
01/09/2025	Germain Lefebvre	Open-source Infrastructure as Code (IaC) orchestration platform	https://github.com/terramate-io/terramate
01/09/2025	Ludovic Dussart	L'avenir de git ?	https://korben.info/jj-jujutsu-version-control-alternative.html
04/09/2025	Emmanuel Péru	web écoconception	https://korben.info/obs-harry-roberts-transforme-votre-site.html
10/09/2025	Emmanuel Péru	web design	https://svgl.app/
19/09/2025	Ludovic Dussart	yq is like jq for Yaml ;)	https://github.com/mikefarah/yq
29/09/2025	Emmanuel Péru	social opensource	https://atproto.com/
02/10/2025	Emmanuel Péru	opensource stockage	https://garagehq.deuxfleurs.fr/
07/10/2025	Emmanuel Péru	opensource payment ecommerce	https://hyperswitch.io/
07/10/2025	Germain Lefebvre	Carte en live des trains	https://carto.tchoo.net
15/10/2025	Emmanuel Péru	green ecoconception	https://www.cigref.fr/wp/wp-content/uploads/2025/09/Rapport-strategies-Numerique-Responsable-des-grandes-organisations-septembre-2025-VDEF.pdf
23/10/2025	Emmanuel Péru	ia Google	https://www.skills.google/
30/10/2025	Emmanuel Péru	ai Oss	https://handy.computer/
30/10/2025	Ludovic Dussart	Vault OpenSource	https://openbao.org/
31/10/2025	Emilien Ferrandi	un site regroupant les algorithmes pour expliquer leur fonctionnement et avec une démo visuelle	https://algorithm-visualizer.org/
31/10/2025	Emmanuel Péru	protocol ecoconception	https://ghgprotocol.org
04/11/2025	Germain Lefebvre	Open Source Alternative to vercel, heroku, netlify with simplified workflows	https://github.com/raghavyuva/nixopus
05/11/2025	Emmanuel Péru	greenit	https://opensourcegreenops.cloud/
05/11/2025	Germain Lefebvre	Free IDE for Kubernetes	https://github.com/freelensapp/freelens
05/11/2025	Nicolas Lefebvre	Angular et l'IA : un article sur le lancement de leur outil de contrôle qualité pour le code web généré par intelligence artificielle	https://blog.angular.dev/beyond-the-horizon-how-angular-is-embracing-ai-for-next-gen-apps-7a7ed706e1a3
06/11/2025	Germain Lefebvre	Classement des modèles LLM de génération d’image	https://artificialanalysis.ai/image/leaderboard/text-to-image
09/11/2025	Germain Lefebvre	Multi-agent framework, runtime and control plane. Built for speed, privacy, and scale.	https://github.com/agno-agi/agno
09/11/2025	Germain Lefebvre	Open-source AI hackers for your apps	https://github.com/usestrix/strix
14/11/2025	Emmanuel Péru	redis sql data	https://github.com/nalgeon/redka
22/11/2025	Emmanuel Péru	Oss signature document fr	https://github.com/btouchard/ackify-ce/blob/main/README_FR.md
22/11/2025	Emmanuel Péru	AI vibecoding Google	https://www.lesnumeriques.com/intelligence-artificielle/google-antigravity-l-ia-qui-code-a-votre-place-est-la-le-metier-de-developpeur-ne-sera-plus-jamais-le-meme-n245972.html
25/11/2025	Emmanuel Péru	green courses	https://www.isit-academy.org
25/11/2025	Emmanuel Péru	trend language	https://devecosystem-2025.jetbrains.com/tools-and-trends
04/12/2025	Emmanuel Péru	git github	https://www.trygitwrap.com/
07/12/2025	Emmanuel Péru	AI courses GitHub copilot	https://github.com/microsoft/ML-For-Beginners
10/12/2025	Emmanuel Péru	ia	https://proton.me/fr/blog/lumo-ai
14/12/2025	Emmanuel Péru	ecoconception greenit	https://www.green-coding.io/products/green-metrics-tool/
18/12/2025	Germain Lefebvre	Germain Lefebvre	https://github.com/github/awesome-copilot
22/12/2025	Guillaume Gayot	un bus de message en rust. ça a l'air vachement complet (bonus pour l'interface web intégrée)	https://github.com/apache/iggy
22/12/2025	Emmanuel Péru	ia green	https://ecologits.ai/latest/
22/12/2025	Emmanuel Péru	ecoconception tool green	https://e-footprint.boavizta.org/
24/12/2025	Emmanuel Péru	security oss	https://github.com/ossf/security-baseline
24/12/2025	Emmanuel Péru	chat collaborative oss	https://github.com/zulip/zulip
28/12/2025	Emmanuel Péru	Oss drawing schema	https://github.com/stan-smith/FossFLOW
06/01/2026	Emmanuel Péru	greenit	https://greenspector.com
06/01/2026	Emmanuel Péru	github oss	https://githubwrapped.xyz
06/01/2026	Emmanuel Péru	oss fr	https://www.courtbouillon.org/projects/
08/01/2026	Emmanuel Péru	AI chat security	https://www.promptfoo.dev/
14/01/2026	Emmanuel Péru	oss alternative gouvernance	https://www.goeuropean.org
16/01/2026	Emmanuel Péru	storage oss	https://www.plakar.io
20/01/2026	Emmanuel Péru	gouvernance souverain	https://www.itforbusiness.fr/indice-de-resilience-numerique-irn-le-thermometre-pour-gouverner-ses-dependances-99428
20/01/2026	Emmanuel Péru	ia code oss	https://ollama.com/blog/claude
21/01/2026	Ludovic Dussart	The open source AI coding agent	https://opencode.ai/
25/01/2026	Germain Lefebvre	GitHub Agentic Workflows	https://githubnext.github.io/gh-aw/
26/01/2026	Emmanuel Péru	ia tool	https://yoanbernabeu.github.io/grepai/
